№,Марка,Пробег,Цена,Фото
91,"Toyota Estima 3 поколение Минивэн 5-дв. , 2008",106000 км,11300$ ,https://i.cars.kg/preview/r/caE0Fx0ZwuPRy9ahD7X9ZQ/1080x-/20221104/722b33abb664278d292a5ed3b6ec0c82.jpeg
92,"Mercedes-Benz Mercedes Benz ML 63 AMG, 2008",221000 км,18000$ ,https://i.cars.kg/preview/r/Z8vetcfnas2Bj0O0CUze-w/1080x-/20221104/112b7ee260aa1d88f65a6fe6b8dcf0dd.jpg
93,"Toyota Kluger XU20 Внедорожник , 2002",161500 км,13200$ ,https://i.cars.kg/preview/r/RFUlkhyf9RfBHGlN5_0bBQ/1080x-/20221104/32ac98dbb001fff90660c54dbb8eec90.jpg
94,"Mercedes-Benz E-Класс W211/S211 Седан , 2003",Нет пробега!,8000$ ,https://i.cars.kg/preview/r/iohPKEIf655Aa9muc_amUw/1080x-/20221104/29b9171d4f51e5bc4c309167f00dcc4e.jpg
95,"Toyota Highlander 3 поколение Кроссовер , 2018",144500 км,41300$ ,https://i.cars.kg/preview/r/Hx36DOMPe2fpucaem1Nizg/1080x-/20221104/825376a796f7d95dd1afa4daf350a332.jpg
96,"Honda Elysion 1 поколение [рестайлинг] Минивэн , 2007",136000 км,16500$ ,https://i.cars.kg/preview/r/0zXJ29Omo0tzErE4NTE6mQ/1080x-/20221104/415e8a86a02cd60a6a812c5bba147f9a.jpg
97,"Mitsubishi Airtrek 1 поколение , 2002",Нет пробега!,6000$ ,https://i.cars.kg/preview/r/Iy0QGp6660cgo-QbxI9nNA/1080x-/20221104/d67c8b3626d3fa3cf5a7538a6c0c3e4c.jpg
98,"BMW X5 F15 Кроссовер , 2016",122032 км,45500$ ,https://i.cars.kg/preview/r/AadRVg6d-vWdFly2nVEeCw/1080x-/20221104/d2c4b2a2d51f18d7818a42f69634f064.jpg
99,"Lexus ES 6 поколение [рестайлинг] Седан , 2017",71202 км,32500$ ,https://i.cars.kg/preview/r/CvW_gkE67IZ9Ntavj9JJWw/1080x-/20221104/cf80cb1c97d07258fbeddfccbf44d461.jpg
100,"Mazda Atenza , 2003",243000 км,5700$ ,https://i.cars.kg/preview/r/-iliCKExqmEGILcVqGNXsA/1080x-/20221104/9d89d4a88fc0842b677877840373077d.jpg
101,"Москвич ИЖ 412, 1975",Нет пробега!,831$ ,https://i.cars.kg/preview/r/d2qIAxMyb2OR51j2j8qCKQ/1080x-/20221104/77f9c3cee82ffb615958873cc29076a1.png
102,"Toyota Camry XV50 Седан 4-дв. , 2011",134000 км,13000$ ,https://i.cars.kg/preview/r/trFjfL0SAV1KuSBOvYcwyw/1080x-/20221103/58b65369d1b39dc015de0490f1ba1636.jpg
103,"Kia Cadenza 1 поколение Седан , 2010",Нет пробега!,13$ ,https://i.cars.kg/preview/r/SbSuUt6MuGzg4Fu7jgnuTg/1080x-/20221103/e808a8112fa7035a9de3f27b91a141ad.jpg
104,"Toyota Camry XV20 Седан 4-дв. , 1999",280000 км,400000$ ,https://i.cars.kg/preview/r/Mv1wPbwZsztPMRZB63THGQ/1080x-/20221103/0dba94891eb107b6c94247dd174ab0c5.jpg
105,"Toyota Prius 4 поколение Хетчбэк , 2016",169000 км,17000$ ,https://i.cars.kg/preview/r/dFE6YzXn-QMD2is0fzyP3A/1080x-/20221103/4c912ea730f612bc5b603896f6b9172b.jpg
106,"AMC , 2022",Нет пробега!,3$ ,https://i.cars.kg/preview/r/CsQQEunSpm35Q82DMuIKBw/1080x-/20221103/a76ce0f5f4b2742f092c0e62b98e3849.jpg
107,"AC ACE 1 поколение Кабриолет , 2022",Нет пробега!,0$ ,https://i.cars.kg/preview/r/TVg9LULuT7g3pAd75vVlXQ/1080x-/20221103/c39a52765733918f234e44fb7b9022d2.jpg
